IP Address,MAC Address,Lease Time,Renewal Time,Timestamp
192.168.1.1,d8:29:18:8f:7b:f8,86400,72000,1736173615.791247
192.168.1.4,b4:45:06:85:c2:8c,86400,72000,1736173615.791247
192.168.1.3,70:f3:95:16:4b:c4,86400,72000,1736173615.791247
192.168.1.9,32:a6:42:c1:15:00,86400,72000,1736173615.791247
192.168.1.5,14:ab:c5:a2:0d:00,86400,72000,1736173615.791247
192.168.1.2,f2:e3:a6:33:58:74,5000,4000,1736173712.1947885
192.168.1.10,62:34:3a:34:35:3a,5000,4000,1736173740.352461
192.168.1.100,62:34:3a:34:35:3a,5000,4000,1736173743.7794394
192.168.1.101,62:34:3a:34:35:3a,5000,4000,1736173745.6283479
192.168.1.102,62:34:3a:34:35:3a,5000,4000,1736173747.3355281
192.168.1.103,62:34:3a:34:35:3a,5000,4000,1736173748.899018
192.168.1.104,,5000,4000,1736173750.368629
192.168.1.250,62:34:3a:34:35:3a,5000,4000,1736173752.1185665
192.168.1.105,b4:45:06:85:c2:8c,5000,4000,1736173780.0453367
