IP Address,MAC Address,Lease Time,Renewal Time,Timestamp
192.168.1.1,d8:29:18:8f:7b:f8,86400,72000,1736184958.8668468
192.168.1.3,70:f3:95:16:4b:c4,86400,72000,1736184958.8668468
192.168.1.10,b4:45:06:85:c2:8c,86400,72000,1736184958.8668468
192.168.1.5,14:ab:c5:a2:0d:00,86400,72000,1736184958.8668468
192.168.1.100,b4:45:06:85:c2:8c,10000,70000,1736185025.0662837
192.168.1.101,f2:e3:a6:33:58:74,10000,70000,1736185066.1339312
192.168.1.102,,10000,70000,1736185143.395287
192.168.1.250,62:34:3a:34:35:3a,10000,70000,1736185146.64371
192.168.1.103,62:34:3a:34:35:3a,10000,70000,1736185181.1318185
192.168.1.104,,10000,70000,1736185183.6727781
192.168.1.105,62:34:3a:34:35:3a,10000,70000,1736185434.1006906
192.168.1.106,62:34:3a:34:35:3a,10000,70000,1736185434.2987306
192.168.1.107,62:34:3a:34:35:3a,10000,70000,1736185434.4019458
192.168.1.108,62:34:3a:34:35:3a,10000,70000,1736185434.585048
192.168.1.109,62:34:3a:34:35:3a,10000,70000,1736185435.0176973
192.168.1.11,62:34:3a:34:35:3a,10000,70000,1736185435.2757947
192.168.1.110,62:34:3a:34:35:3a,10000,70000,1736185435.471119
192.168.1.111,62:34:3a:34:35:3a,10000,70000,1736185435.9291592
192.168.1.112,62:34:3a:34:35:3a,10000,70000,1736185436.3189065
192.168.1.113,62:34:3a:34:35:3a,10000,70000,1736185436.6025488
192.168.1.114,62:34:3a:34:35:3a,10000,70000,1736185437.150524
192.168.1.115,62:34:3a:34:35:3a,10000,70000,1736185437.2900565
192.168.1.116,62:34:3a:34:35:3a,10000,70000,1736185437.3696516
192.168.1.117,62:34:3a:34:35:3a,10000,70000,1736185437.66197
192.168.1.118,62:34:3a:34:35:3a,10000,70000,1736185437.8121648
192.168.1.119,62:34:3a:34:35:3a,10000,70000,1736185437.9934015
192.168.1.12,62:34:3a:34:35:3a,10000,70000,1736185438.255471
192.168.1.120,62:34:3a:34:35:3a,10000,70000,1736185438.4633024
192.168.1.121,62:34:3a:34:35:3a,10000,70000,1736185438.860439
192.168.1.122,62:34:3a:34:35:3a,10000,70000,1736185438.918887
192.168.1.123,62:34:3a:34:35:3a,10000,70000,1736185438.9859827
192.168.1.124,62:34:3a:34:35:3a,10000,70000,1736185439.0364347
192.168.1.125,62:34:3a:34:35:3a,10000,70000,1736185439.075356
192.168.1.126,62:34:3a:34:35:3a,10000,70000,1736185439.1949177
